Bedrooms,Area,Bathrooms,ParkingSpaces,Age,Price,Location,price
4,4468,3,4,15,100357,Kolkata,649846.3708281451
0,1144,1,1,3,334788,Kolkata,314484.98265495134
4,3634,3,2,24,463682,Kolkata,513847.6347876958
1,4770,2,1,41,747059,Kolkata,520157.6587183579
0,3569,4,2,63,510018,Kolkata,475271.4791271416
2,4192,4,1,48,547955,Kolkata,482680.48716752743
1,1800,2,3,61,751905,Kolkata,413060.9335772936
3,2485,3,0,48,101593,Kolkata,347981.01006703905
3,4748,0,2,47,628890,Kolkata,562612.5658246544
3,3429,0,3,56,474417,Kolkata,518741.5867024541
2,3823,4,0,8,883837,Kolkata,446011.86201565864
4,1672,2,0,18,306185,Kolkata,316525.6402451309
0,4974,2,4,23,210903,Kolkata,656167.7159525229
2,4489,1,4,69,720153,Kolkata,611731.4125649562
1,1326,4,4,65,373087,Kolkata,423402.9463808953
1,2414,2,2,46,526228,Kolkata,414991.9990194636
3,4368,1,2,66,563324,Kolkata,531965.8728155146
0,1629,0,0,69,509466,Kolkata,270584.3139179
3,3019,4,2,22,753747,Kolkata,472180.29752246686
1,4894,4,0,65,182169,Kolkata,478330.47109196614
1,4846,2,3,12,144053,Kolkata,622522.3270146742
4,3131,2,1,19,270460,Kolkata,442024.895809566
4,3193,3,0,22,322779,Kolkata,407329.3682171093
4,3028,0,0,55,826765,Kolkata,380307.80054665904
3,2194,0,3,62,880169,Kolkata,441779.6767512899
0,3024,1,4,51,695795,Kolkata,526182.4807842646
4,2357,1,4,48,423455,Kolkata,502480.96960934857
2,3471,3,4,17,965925,Kolkata,573443.9952288609
4,4380,0,0,13,826864,Kolkata,480815.7047658365
3,2549,1,0,28,842149,Kolkata,360686.9653005943
0,3708,0,2,67,846837,Kolkata,479231.67860345845
4,4952,0,2,5,287729,Kolkata,597118.0646043936
0,3810,1,1,60,828543,Kolkata,450965.63914484874
2,1568,2,1,15,518715,Kolkata,343959.10826951807
1,3394,2,2,44,393929,Kolkata,474674.7252577312
0,4373,1,0,46,444137,Kolkata,446938.46750690305
4,2945,3,3,29,960968,Kolkata,511292.6572313926
3,1346,4,2,68,807390,Kolkata,348568.0151311644
3,1407,0,0,49,268981,Kolkata,281183.85282459034
3,1132,4,2,43,356219,Kolkata,348804.86837054574
3,4753,1,4,68,921326,Kolkata,632091.6838104174
0,1613,0,2,20,227210,Kolkata,371730.69188701746
3,4035,4,4,18,708412,Kolkata,618670.7534187605
1,1105,2,0,64,958438,Kolkata,247999.91945518035
2,3218,3,4,49,639761,Kolkata,548694.8605749425
0,3687,4,2,42,181697,Kolkata,491862.1620084262
0,4321,3,4,12,120063,Kolkata,625315.495818783
3,4615,2,3,36,882977,Kolkata,600807.7809461043
3,4799,4,4,8,615993,Kolkata,669421.278097717
0,1261,1,4,28,178444,Kolkata,431727.5722818401
3,4913,0,1,60,636138,Kolkata,525172.484757877
3,1493,2,3,49,887416,Kolkata,405279.7072376122
3,4315,3,0,38,674738,Kolkata,462025.2182222965
3,2474,3,4,58,812060,Kolkata,500895.5748493229
3,3950,2,3,5,697011,Kolkata,579357.3892329464
4,4868,1,0,46,619840,Kolkata,495640.7176983922
4,1289,1,3,2,193392,Kolkata,421415.4965183976
4,4334,3,1,25,120339,Kolkata,513415.7005418014
0,4920,2,0,1,733437,Kolkata,503120.45749117003
2,2868,2,0,69,662769,Kolkata,355824.9503220968
0,2337,0,4,40,295423,Kolkata,491906.4191741254
4,3132,3,2,68,283911,Kolkata,460931.8609961957
0,2438,1,0,69,426380,Kolkata,323183.84050599765
2,2352,4,0,69,966051,Kolkata,327171.32691346906
3,1044,1,1,16,803647,Kolkata,316765.1483407297
1,1814,1,1,54,684594,Kolkata,333888.16538667964
4,3380,4,1,63,340514,Kolkata,438905.86499477905
4,1464,3,4,18,649723,Kolkata,464178.38819030253
2,1199,0,0,17,560837,Kolkata,280049.16734616034
3,4272,1,1,4,655125,Kolkata,514833.1544948921
3,1328,1,1,9,860197,Kolkata,336899.77113313216
1,4751,3,3,31,135495,Kolkata,602589.5802427585
3,3287,3,3,5,664048,Kolkata,538631.455228992
2,2907,2,1,16,212489,Kolkata,424757.80578485824
3,1797,3,4,42,122084,Kolkata,470093.7392358836
2,1701,3,2,41,268530,Kolkata,381338.7515997497
4,3630,1,3,30,953033,Kolkata,547324.7982351928
4,3704,0,3,26,683639,Kolkata,560853.4347322392
